slug,titulo,ano,tipo,qualidade,generos,download,meta_chars,title_chars
a-morte-do-demonio-em-chamas,A Morte do Demônio: Em Chamas,2026,Filme,1080p,2,True,125,72
sterling-point-1a-temporada,Sterling Point 1ª Temporada,2026,Série,1080p,0,True,123,70
a-odisseia,A Odisseia,2026,Filme,1080p,3,True,106,53
amor-romance-casamento,"Amor, Romance, Casamento",2026,Filme,1080p,2,True,120,67
outer-banks-1a-a-5a-temporada,Outer Banks 1ª a 5ª Temporada,2020,Série,1080p,0,True,125,72
emergencia-53-1a-temporada,Emergência 53 1ª Temporada,2026,Série,1080p,0,True,122,69
a-captura,A Captura,2026,Filme,1080p,3,True,105,52
ghost-in-the-cell,Ghost in the Cell,2026,Filme,1080p,2,True,113,60
pinoquio-maldicao-de-madeira,Pinóquio: Maldição de Madeira,2026,Filme,1080p,3,True,125,72
possuida-no-deserto,Possuída no Deserto,2025,Filme,1080p,2,True,115,62
o-fim-da-rua,O Fim da Rua,2026,Filme,1080p,3,True,108,55
estilhacos-1a-temporada,Estilhaços 1ª Temporada,2026,Série,1080p,0,True,119,66
fightland-1a-temporada,Fightland 1ª Temporada,2026,Série,1080p,0,True,118,65
reacher-4a-temporada,Reacher 4ª Temporada,2026,Série,1080p,0,True,116,63
silo-3a-temporada,Silo 3ª Temporada,2026,Série,1080p,0,True,113,60
matador-improvavel,Matador Improvável,2025,Filme,1080p,2,True,114,61
seal-team-soldados-de-elite-1a-a-7a-temporada,SEAL Team: Soldados de Elite 1ª a 7ª Temporada,2017,Série,1080p,0,True,142,89
diamante-negro,Diamante Negro,2025,Filme,1080p,1,True,110,57
sobrenatural-agora-entre-nos,Sobrenatural: Agora Entre Nós,2026,Filme,1080p,2,True,125,72
de-volta-aos-anos-90,De Volta Aos Anos 90,2026,Filme,1080p,2,True,116,63
truly-naked,Truly Naked,2026,Filme,1080p,2,True,107,54
jogada-de-risco-1a-temporada,Jogada de Risco 1ª Temporada,2026,Série,1080p,0,True,124,71
moana,Moana,2026,Filme,1080p,4,True,101,48
o-ritual,O Ritual,2011,Filme,1080p,3,True,104,51
a-caminho-da-guerra,A Caminho da Guerra,2009,Filme,1080p,2,True,115,62
beijar-e-facil,Beijar é Fácil,2026,Filme,1080p,2,True,110,57
homem-aranha-um-novo-dia,Homem-Aranha: Um Novo Dia,2026,Filme,1080p,3,True,121,68
os-mercenarios-colecao,Os Mercenários: Coleção,2010,Filme,1080p,1,True,119,66
possuidos,Possuídos,2026,Série,1080p,0,True,105,52
a-vinganca-de-nina,A Vingança de Nina,2024,Filme,1080p,2,True,114,61
tatame,Tatame,2026,Filme,1080p,1,True,102,49
lucky-1a-temporada,Lucky 1ª Temporada,2026,Série,1080p,0,True,114,61
brincando-com-a-morte,Brincando com a Morte,1997,Filme,1080p,4,True,117,64
sete-homens-e-uma-sentenca,Sete Homens e Uma Sentença,2025,Filme,1080p,3,True,122,69
a-luta-da-minha-vida,A Luta da Minha Vida,2019,Filme,1080p,2,True,116,63
tatame-2,Tatame,2024,Filme,1080p,3,True,102,49
queda-livre-as-consequencias-do-caso-boeing,Queda Livre: As Consequências do Caso Boeing,2026,Filme,1080p,1,True,140,87
ted-lasso-4a-temporada,Ted Lasso 4ª Temporada,2026,Série,1080p,0,True,118,65
mr-nice-guy-bom-de-briga,Mr. Nice Guy: Bom de Briga,1997,Filme,1080p,3,True,122,69
tatame-3,Tatame,2026,Filme,1080p,2,True,102,49
landship,Landship,2026,Filme,1080p,1,True,104,51
carrossel-magico,Carrossel Mágico,2026,Filme,1080p,1,True,112,59
cafe-pepi-e-limao,"Café, Pépi e Limão",2025,Filme,1080p,1,True,114,61
quem-e-seu-pai,Quem é seu Pai?,2023,Filme,1080p,2,True,111,58
mulheres-de-azul-2a-temporada,Mulheres de Azul 2ª Temporada,2026,Série,1080p,0,True,125,72
quinze-dias,Quinze Dias,2026,Filme,1080p,2,True,107,54
o-filho-da-escuridao,O Filho da Escuridão,2026,Filme,1080p,1,True,116,63
forjando-campeoes-2,Forjando Campeões 2,2023,Filme,1080p,2,True,115,62
mao-1a-temporada,MAO 1ª Temporada,2025,Série,1080p,0,True,112,59
barb-wire-a-justiceira,Barb Wire: A Justiceira,1996,Filme,1080p,3,True,119,66
o-amor-move-ondas,O Amor Move Ondas,2022,Filme,1080p,2,True,113,60
a-estacao-do-terror,A Estação do Terror,2025,Filme,1080p,2,True,115,62
county-line-no-fear,County Line: No Fear,2022,Filme,1080p,2,True,116,63
furia-1a-temporada,Fúria 1ª Temporada,2026,Série,1080p,0,True,114,61
operacao-lioness-3a-temporada,Operação: Lioness 3ª Temporada,2026,Série,1080p,0,True,126,73
daemons-of-the-shadow-realm-1a-temporada,Daemons of the Shadow Realm 1ª temporada,2025,Série,1080p,0,True,136,83
toy-story-5,Toy Story 5,2026,Filme,1080p,4,True,107,54
nao-deseje-boa-sorte,Não Deseje Boa Sorte,2026,Filme,1080p,3,True,116,63
a-primeira-ministra-a-historia-de-jacinda-ardern,A Primeira Ministra - A História De Jacinda Ardern,2025,Filme,1080p,1,True,146,93
hellcat,Hellcat,2025,Filme,1080p,2,True,103,50
noites-brutais,Noites Brutais,2022,Filme,1080p,3,True,110,57
meu-melhor-amigo-sua-namorada-e-eu,"Meu Melhor Amigo, sua Namorada e Eu",2026,Filme,1080p,1,True,131,78
bleach-thousand-year-blood-war-the-calamity-1a-temporada,Bleach: Thousand-Year Blood War - The Calamity 1ª temporada,2026,Série,1080p,0,True,155,102
the-walking-dead-dead-city-3a-temporada,The Walking Dead: Dead City 3ª Temporada,2026,Série,1080p,0,True,136,83
presidente-curtis-1a-temporada,Presidente Curtis 1ª Temporada,2026,Série,1080p,0,True,126,73
futurama-14a-temporada,Futurama 14ª Temporada,2026,Série,1080p,0,True,118,65
black-torch-1a-temporada,Black Torch 1ª temporada,2026,Série,1080p,0,True,120,67
camp-rock-3,Camp Rock 3,2026,Filme,1080p,3,True,107,54
minions-monstros,Minions & Monstros,2026,Filme,1080p,3,True,114,61
minhas-aventuras-com-o-superman-3a-temporada,Minhas Aventuras com o Superman 3ª Temporada,2026,Série,1080p,0,True,140,87
lanternas-1a-temporada,Lanternas 1ª Temporada,2026,Série,1080p,0,True,118,65
o-peso-da-lei-1a-temporada,O Peso da Lei 1ª Temporada,2026,Série,1080p,0,True,122,69
segredo-obscuro,Segredo Obscuro,2026,Filme,1080p,3,True,111,58
o-aspirante,O Aspirante,2024,Filme,1080p,2,True,107,54
a-maldicao-do-tubarao,A Maldição do Tubarão,2026,Filme,1080p,1,True,117,64
wardriver,Wardriver,2026,Filme,1080p,2,True,105,52
nando-entre-dois-mundos-um-filme-sintonia,Nando Entre Dois Mundos: Um Filme Sintonia,2026,Filme,1080p,2,True,138,85
anna-pigeon-1a-temporada,Anna Pigeon 1ª Temporada,2026,Série,1080p,0,True,120,67
o-destino-de-layla,O Destino de Layla,2023,Filme,1080p,2,True,114,61
feras-no-limite,Feras no Limite,2026,Filme,1080p,2,True,111,58
a-vida-no-skate-com-leo-baker,A Vida no Skate com Leo Baker,2022,Filme,1080p,1,True,125,72
star-trek-strange-new-worlds-4a-temporada,Star Trek: Strange New Worlds 4ª Temporada,2026,Série,1080p,0,True,138,85
o-ultimo-grande-assalto,O Último Grande Assalto,2026,Filme,1080p,2,True,119,66
presos-em-um-crime,Presos em um Crime,2025,Filme,1080p,1,True,114,61
o-sol-nasce-para-todos,O Sol Nasce Para Todos,2025,Filme,1080p,2,True,118,65
o-convite,O Convite,2026,Filme,1080p,2,True,105,52
trago-seu-amor,Trago Seu Amor,2026,Filme,1080p,3,True,110,57
asa-branca-a-voz-da-arena,Asa Branca: A Voz da Arena,2025,Filme,1080p,1,True,122,69
x-men-97-2a-temporada,X-Men '97 2ª Temporada,2026,Série,1080p,0,True,118,65
o-que-fica-por-dizer,O que Fica por Dizer,2026,Filme,1080p,2,True,116,63
o-afinador,O Afinador,2026,Filme,1080p,2,True,106,53
contornando-a-morte,Contornando a Morte,2018,Filme,1080p,1,True,115,62
eneida,Eneida,2022,Filme,1080p,1,True,102,49
o-conde-de-monte-cristo-1a-temporada,O Conde de Monte Cristo 1ª Temporada,2025,Série,1080p,0,True,132,79
meu-proprio-filho,Meu Próprio Filho,2026,Filme,1080p,1,True,113,60
kara,Kara,2026,Filme,1080p,4,True,100,47
lapua-1976,Lapua 1976,2023,Filme,1080p,1,True,106,53
operacao-raqqa,Operação: Raqqa,2024,Filme,1080p,1,True,111,58
o-sorveteiro,O Sorveteiro,2026,Filme,1080p,1,True,108,55
o-poder-do-rosario,O Poder do Rosário,2026,Filme,1080p,1,True,114,61
voepass-2283-a-queda-1a-temporada,Voepass 2283: A Queda 1ª Temporada,2026,Série,1080p,0,True,130,77
big-baby,Big Baby,2025,Filme,1080p,1,True,104,51
nao-identificada,Não Identificada,2026,Filme,1080p,2,True,112,59
popeye-iii-requiem,Popeye III: Requiem,2026,Filme,1080p,1,True,115,62
a-caixa-do-demonio,A Caixa do Demônio,2026,Filme,1080p,1,True,114,61
recem-nascido,Recém-nascido,2026,Filme,1080p,2,True,109,56
corrida-dos-bichos,Corrida dos Bichos,2026,Filme,1080p,3,True,114,61
george-washington,George Washington,2026,Filme,1080p,3,True,113,60
sugar-2a-temporada,Sugar 2ª Temporada,2026,Série,1080p,0,True,114,61
a-heroina-da-fita,A Heroína da Fita,2026,Filme,1080p,3,True,113,60
a-ultima-casa,A Última Casa,2026,Filme,1080p,3,True,109,56
the-isolate-thief,The Isolate Thief,2026,Filme,1080p,3,True,113,60
as-melhores-familias,As Melhores Famílias,2020,Filme,1080p,2,True,116,63
bom-garoto,Bom Garoto,2026,Filme,1080p,3,True,106,53
jovens-aguias,Jovens Águias,2022,Filme,1080p,3,True,109,56
hungria-a-escolha-de-um-sonho,Hungria: A Escolha de um Sonho,2026,Filme,1080p,1,True,126,73
vida-privada,Vida Privada,2025,Filme,1080p,3,True,108,55
jackass-ultimo-shot-de-loucura,Jackass: Último Shot de Loucura,2026,Filme,1080p,3,True,127,74
governor,Governor,2026,Filme,1080p,2,True,104,51
apreensao,Apreensão,2026,Filme,1080p,1,True,105,52
operacao-sombra,Operação Sombra,2025,Filme,1080p,4,True,111,58
monstros-irmaos-menendez-assassinos-dos-pais-1a-temporada,Monstros: Irmãos Menendez: Assassinos dos Pais 1ª Temporada,2024,Série,1080p,0,True,155,102
